pagkadto , pagkad-toe
kalipongan , kah-li-poo-ngan
pag-agaw , pag-ah-gaw
pagpanpan , pag-pahn-pahn
ulyab , oolyab
panimangno , pahni-mangno
alaksiw , alak-seew
tapo-tapo , tapuh-tapo
siring han , sihring han
pag-iban , pag e ban
sapot , sa put
alimyon , ah lim yuhn
taramakan , tahramakan
garamiton , gahrah mi tohn
kalayo , kah laa yo
doktrina , dohk trinah
adlaw-adlaw , ad lao ad lao
pagsarig , pagh sah rig
paggios , pagh gee ohs
diri kunosido , diri/ kunu-siidoe
alisngaw , ahlihs nga ao
baruyot , ba rueyoht
imbis , imbihs
kaibahan , kaibahhan
bag-o , bagh oh
pagpakayas , paghpa kah yas
pag-agi , pagh ah gi
urukyan , urukyan
pagbari , pagh bah ri
pader , pa der
urusahon , uru sa hoon
sangwil , sang-wil
kutsilyo , kuth-silyo
bubon , bu-bon
baliko , ba-li-ko
kahon , ka-hon
balsa , bal-sa
banawag , ba-na-wagh
pandong , pahn-dong
pagtarhog , pag-tar-hog
pantalan , pan tah lan
bantay , ban tay
bado , bah do
waray sulod , waray sulod
baya , bah ya
lapsot , lap sot
pagbawi , pag bah wi
pagbayad , pag bah yad
dumot , du mot
timbang , tim bang
bughat , bug hat
pag-ukoy , pag u koy
pataraw-an , pah tah raw an
pagkabuotan , pag kah bu o tan
bloki , bloki
buyog , bu yog
buhi , buhi
abri , ab ri
buwas , bu was
pagtindog , pag tin dog
turaban , tu rah ban
pagbunggo , pag bung go
tim-os nga kasing-kasing , tiim os nga kasing kasing
pagpahaliput , pag pah hah li put
pagpalipas , pag pah li pas
harangdon , hah rang don
pagkugos , pag ku gos
agos , ah gos
banwa , ban wa
perhisyo , per his yo
kaliwasan , kah li wah san
pagpaawas , pag pah ah was
mulye , mul ye
kapirdihan , kah pir di han
kakadtoan , kah kad to an
palad , pah lad
diri lamot , diri lah mot
batingilan , bah ti ngi lan
diri klarado , diri klah rah do
diri husto , diri husto
kasirom , kah si rom
mahibatian , mah hi bah ti an
baribad , bah ri bad
hunahuna , huna huna
manarambal , mah nah ram bal
ruhaduha , ru ha du ha
pag-entra , pag en tra
ul-ol , ul ol
malinop , mah li nop
idad , idad
hingpit , hingpit
eksamin , ek sah min
multa , multa
laso , lah so
palagiw , pah lah giw
paglaom , pag lah om
tunok , tu nok
gintukod , gin tu kod
pagkiwa , pag ki wa
maarabot , mah ah rah bot
kita , kita
matig-a , mah tig a
balos , bah los
kamang , kah mang
pagdaog , pag dah og
pagsangbod , pag sang bod
buskay , bus kay
kabudlay , kah bud lay
diri makahirimo , diri mah kah hi ri mo
pagmata , pag mata
